31536000  ! number of seconds in a year
15.4 0.0   ! mississippi node 1; total flux set to 19.1 kcms
18.0 0.0  ! mississippi node 2
20.7 0.0  ! mississippi node 3
22.2 0.0  ! mississippi node 4
23.6 0.0  ! mississippi node 5
24.3 0.0  ! mississippi node 6
23.5 0.0  ! mississippi node 7
21.0 0.0  ! mississippi node 8
15.4 0.0  ! mississippi node 9
11.2 0.0  ! mississippi node 10
6.2 0.0  ! mississippi node 11
4.6 0.0  ! mississippi node 12
4.2 0.0  ! mississippi node 13
0.0 0.0   ! morganza node 1; total flux set to 0.0 kcms
0.0 0.0  ! morganza node 2
0.0 0.0  ! morganza node 3
0.0 0.0  ! morganza node 4
0.0 0.0  ! morganza node 5
0.0 0.0  ! morganza node 6
0.0 0.0  ! morganza node 7
3.7 0.0   ! atchafalaya node 1; total flux set to 9.6 kcms
3.9 0.0  ! atchafalaya node 2
4.3 0.0  ! atchafalaya node 3
4.5 0.0  ! atchafalaya node 4
4.8 0.0  ! atchafalaya node 5
5.1 0.0  ! atchafalaya node 6
5.1 0.0  ! atchafalaya node 7
5.1 0.0  ! atchafalaya node 8
5.1 0.0  ! atchafalaya node 9
5.2 0.0  ! atchafalaya node 10
5.3 0.0  ! atchafalaya node 11
5.3 0.0  ! atchafalaya node 12
5.3 0.0  ! atchafalaya node 13
5.3 0.0  ! atchafalaya node 14
5.3 0.0  ! atchafalaya node 15
5.3 0.0  ! atchafalaya node 16
5.2 0.0  ! atchafalaya node 17
5.1 0.0  ! atchafalaya node 18
5.1 0.0  ! atchafalaya node 19
4.9 0.0  ! atchafalaya node 20
4.5 0.0  ! atchafalaya node 21
4.2 0.0  ! atchafalaya node 22
15.4 0.0   ! mississippi node 1; total flux set to 19.1 kcms
18.0 0.0  ! mississippi node 2
20.7 0.0  ! mississippi node 3
22.2 0.0  ! mississippi node 4
23.6 0.0  ! mississippi node 5
24.3 0.0  ! mississippi node 6
23.5 0.0  ! mississippi node 7
21.0 0.0  ! mississippi node 8
15.4 0.0  ! mississippi node 9
11.2 0.0  ! mississippi node 10
6.2 0.0  ! mississippi node 11
4.6 0.0  ! mississippi node 12
4.2 0.0  ! mississippi node 13
0.0 0.0   ! morganza node 1; total flux set to 0.0 kcms
0.0 0.0  ! morganza node 2
0.0 0.0  ! morganza node 3
0.0 0.0  ! morganza node 4
0.0 0.0  ! morganza node 5
0.0 0.0  ! morganza node 6
0.0 0.0  ! morganza node 7
3.7 0.0   ! atchafalaya node 1; total flux set to 9.6 kcms
3.9 0.0  ! atchafalaya node 2
4.3 0.0  ! atchafalaya node 3
4.5 0.0  ! atchafalaya node 4
4.8 0.0  ! atchafalaya node 5
5.1 0.0  ! atchafalaya node 6
5.1 0.0  ! atchafalaya node 7
5.1 0.0  ! atchafalaya node 8
5.1 0.0  ! atchafalaya node 9
5.2 0.0  ! atchafalaya node 10
5.3 0.0  ! atchafalaya node 11
5.3 0.0  ! atchafalaya node 12
5.3 0.0  ! atchafalaya node 13
5.3 0.0  ! atchafalaya node 14
5.3 0.0  ! atchafalaya node 15
5.3 0.0  ! atchafalaya node 16
5.2 0.0  ! atchafalaya node 17
5.1 0.0  ! atchafalaya node 18
5.1 0.0  ! atchafalaya node 19
4.9 0.0  ! atchafalaya node 20
4.5 0.0  ! atchafalaya node 21
4.2 0.0  ! atchafalaya node 22
