,,,,,,Best Station Coordinates,,Best Station Coordinates,,Best Station ,,,,,,,,,,Contained in CERA,NC v9.99 grid station coordinates,,Dry in NC,New NC v9.99 grid station coords,,HSOFS grid coords,,Dry in HSOFS,New HSOFS grid coords,,Notes on 
Station #,Entered By,ID,Name,State,Agency,Lat,Lon,Lat,Lon,Coordinates Source,Checked in Google Earth,Horizontal Datum,Native Vertical Datum,Conversion (ft) to MSL,Conversion (ft) to NAVD88,Notes,Time Zone,"Data available (wl, waves, met)",data website location,stations,lat,lon,v9.99 grid?,lat ,lon,lat,lon,grid?,lat ,lon,HSOFS coords
1,CWF,8651370,Duck,NC,NOAA NOS,"36 11' 1""","75 44' 44""",36.18361111,-75.74555556,NDBC,CWF 10/11/2016,NAD83,MSL,0,0.42,"These can be downloaded several different datums (NAVD88 is not included) and Timezones, datum conversion from station web page",UTC,wl/met,https://tidesandcurrents.noaa.gov/stationhome.html?id=8651370,yes,36.18361111,-75.74555556,,,,36.18361111,-75.74555556,no ,n/a,n/a,
2,CWF,8652587,Oregon Inlet Marina,NC,NOAA NOS,,,35.79571667,-75.54818056,NDBC with small adjustment using station pics & Google Earth by CWF,CWF 10/11/2016,NAD83,MSL,0,0.12,"These can be downloaded several different datums (NAVD88 is not included) and Timezones, datum conversion from station web page",UTC,wl/met,https://tidesandcurrents.noaa.gov/stationhome.html?id=8652587,yes,35.7958333,-75.5480556,,,,35.7958333,-75.5480556,no,n/a,n/a,went back to NDBC per Matthew team email
3,CWF,8654467,USCG Station Hatteras,NC,NOAA NOS,"35 12' 31""","75 42' 15""",35.20861111,-75.70416667,NDBC,CWF 10/11/2016,NAD83,MSL,0,0.09,"These can be downloaded several different datums (NAVD88 is not included) and Timezones, datum conversion from station web page",UTC,wl/met,https://tidesandcurrents.noaa.gov/stationhome.html?id=8654467,yes,,,,,,35.212708,-75.70416667,no,,,
4,CWF,8656483,Beaufort,NC,NOAA NOS,"34 43' 2""","76 40' 14""",34.71722222,-76.67055556,NDBC,CWF 10/11/2016,NAD83,MSL,0,0.37,"These can be downloaded several different datums (NAVD88 is not included) and Timezones, datum conversion from station web page",UTC,wl/met,https://tidesandcurrents.noaa.gov/stations.html?type=Water+Levels#NorthCarolina,,,,,,,34.71722222,-76.67055556,no,,,
5,CWF,8658163,Wrightsville Beach,NC,NOAA NOS,"34 12' 48""","77 47' 11""",34.21333333,-77.78638889,NOAA,CWF 10/11/2016,NAD83,MSL,0,0.49,"These can be downloaded several different datums (NAVD88 is not included) and Timezones, datum conversion from station web page",UTC,wl/met,https://tidesandcurrents.noaa.gov/stations.html?type=Water+Levels#NorthCarolina,,,,,,,34.21333333,-77.78638889,no,,,
6,CWF,8658120,Wilmington,NC,NOAA NOS,,,34.227825,-77.95326944,NDBC with small adjustment using station pics & Google Earth by CWF,CWF 10/11/2016,NAD83,MSL,0,no conversion,"These can be downloaded several different datums (NAVD88 is not included) and Timezones, datum conversion from station web page",UTC,wl/met,https://tidesandcurrents.noaa.gov/stations.html?type=Water+Levels#NorthCarolina,,,,,,,-77.952628,34.227825,no,,,
,,0204347500,CURRITUCK SOUND AT US 158 NR POINT HARBOR,NC,USGS,,,-75.7679607,36.0868308,,,,,,,,,,,,,,,,,,,,,,
7,CWF,02043433,Currituck Sound on East Bank at Corolla,NC,USGS,"36 22' 28""","75 50' 04""",36.37444444,-75.83444444,USGS,CWF 10/11/2016,NAD83,NAVD88,0.125,0,0 ft above NAVD88 datum conversion using VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02043433,,,,,,,,,,,,
8,CWF,362228075500401,Currituck Sound on East Bank near Corolla,NC,USGS,"36 22' 28""","75 50' 04""",36.37444444,-75.83444444,USGS,CWF 10/11/2016,NAD83,NAVD88,0.125,0,0ft above NAVD88,EDT,met,http://nwis.waterdata.usgs.gov/nc/nwis/inventory/?site_no=362228075500401&agency_cd=USGS,,,,,,,,,,,,
