fort15_sequence_nr,stationid,stationname,lat,lon
1,8735180,Dauphin Island,30.2507,-88.071023
2,8747437,Bay Waveland Yacht Club,30.3273,-89.3219
3,SBPT2,Tide Station near Sabine Pass,29.728333,-93.870000
4,CAPL1,Tide Station at Calcasieu Pass,29.768056,-93.342778
5,LCLL1,Tide Station at Lake Charles,30.223611,-93.221667
6,LCHL1,Calcasieu River at Saltwater Barrier,30.253611,-93.218056
7,FRWL1,Tide Station at Fresh Water Canal Locks,29.5550,-92.304722
8,01300,Mississippi River at New Orleans (Carrollton),29.93472222,-90.13611111
9,NORL1,Mississippi River at New Orleans,29.93472222,-90.13611111
10,073815450,Chicot Pass near Myette Point near Charenton,29.89270406, -91.44566620
11,OTBL1,Calcasieu River nr Old Town Bay,30.290278,-93.144722
12,GNDL1,Atchafalaya River at Myette Point/Grand Lake,29.8925,-91.445556
13,MCGL1,Atchafalaya River at Morgan City,29.696389,-91.210833
14,01545,Mississippi River at Head of Passes,29.1338,-89.2465
15,01480,Mississippi River at Venice,29.27583333,-89.35277778
16,01670,Mississippi River Southwest Pass at East Jetty,28.9323055,-89.4071111
17,07374540,Mississippi River at Buras,29.35713889,-89.5238611
18,07374526,Black Bay nr Snake Island nr Pointe-A-La-Hache,29.63354395,-89.5636694
19,01440,Mississippi River at Empire,29.3893722,-89.5964638
20,07374527,Northeast Bay Gardene nr Point-A-LA-Hache,29.5859626,-89.6060323
21,073745257,Crooked B. NW of L. Cuatro Caballo nr Delacroix,29.7082661,-89.7195065
22,85700,Rigolets nr Lake Pontchartrain,30.1633861,-89.7379055
23,01400,Mississippi River at West Point A La Hache,29.5711,-89.7969
24,073802516,Barataria Pass at Grand Isle,29.27283333,-89.9468056
25,07380251,Barataria Bay N of Grand Isle,29.42272045,-89.9506268
26,01390,Mississippi River at Alliance,29.6845444,-89.9699
27,01380,Mississippi River at Algiers Lock,29.9159916,-89.9710777
28,76240,Algiers Lock - GIWW,29.9142972,-89.9733611
29,07374525,Mississippi River at Belle Chasse,29.85715084,-89.977847
30,76160,Inner Harbor Navigation Canal New Orleans,29.9664805,-90.02675
