fort15_sequence_nr,stationid,stationname,lat,lon
1,8735180,Dauphin Island,30.2507,-88.071023
2,SBPT2,Tide Station near Sabine Pass,29.728333,-93.870000
3,CAPL1,Tide Station at Calcasieu Pass,29.768056,-93.342778
4,LCRL1,Calcasieu River at Sam Houston Jones State Park,30.294167,-93.262778
5,LCLL1,Tide Station at Lake Charles,30.223611,-93.221667
6,LCHL1,Calcasieu River at Saltwater Barrier,30.253611,-93.218056
7,FRWL1,Tide Station at Fresh Water Canal Locks,29.5550,-92.304722
8,VLSL1,Vermilion River at Surrey St. at Lafayette,30.217222,-91.992500
9,BSRL1,Atchafalaya River at Bayou Sorrel Lock,30.1300,-91.3225
10,03820,Avoca Island Cutoff south of Morgan City,29.53333333,-91.24944440
11,01300,Mississippi River at New Orleans (Carrollton),29.93472222,-90.13611111
12,NORL1,Mississippi River at New Orleans,29.93472222,-90.13611111
13,PERL1,Pearl River at Pearl River,30.385,-89.736667
14,073815450,Chicot Pass near Myette Point near Charenton,29.89270406, -91.44566620
15,07381324,Bayou Grand Caillou at Dulac,29.38299869, -90.71536740
16,07381350,Company Canal at Hwy 1 at Lockport,29.64521343, -90.54480800
17,OTBL1,Calcasieu River nr Old Town Bay,30.290278,-93.144722
18,GNDL1,Atchafalaya River at Myette Point/Grand Lake,29.8925,-91.445556
19,MCGL1,Atchafalaya River at Morgan City,29.696389,-91.210833
20,01545,Mississippi River at Head of Passes,29.1338,-89.2465
21,01480,Mississippi River at Venice,29.27583333,-89.35277778
22,01670,Mississippi River Southwest Pass at East Jetty,28.9323055,-89.4071111
23,07374540,Mississippi River at Buras,29.35713889,-89.5238611
24,07374526,Black Bay nr Snake Island nr Pointe-A-La-Hache,29.63354395,-89.5636694
25,01440,Mississippi River at Empire,29.3893722,-89.5964638
26,07374527,Northeast Bay Gardene nr Point-A-LA-Hache,29.5859626,-89.6060323
27,073745257,Crooked B. NW of L. Cuatro Caballo nr Delacroix,29.7082661,-89.7195065
28,85700,Rigolets nr Lake Pontchartrain,30.1633861,-89.7379055
29,01400,Mississippi River at West Point A La Hache,29.5711,-89.7969
30,07374581,Bayou Liberty nr Slidell,30.30130578,-89.83062149
31,295124089542100,Caernarvon Outfall Channel at Caernarvon,29.85355556,-89.9076944
32,073745253,Reggio Canal nr Wills Point,29.78416667,-89.9375
33,073802516,Barataria Pass at Grand Isle,29.27283333,-89.9468056
34,07380251,Barataria Bay N of Grand Isle,29.42272045,-89.9506268
35,01390,Mississippi River at Alliance,29.6845444,-89.9699
36,01380,Mississippi River at Algiers Lock,29.9159916,-89.9710777
37,76240,Algiers Lock - GIWW,29.9142972,-89.9733611
38,07374525,Mississippi River at Belle Chasse,29.85715084,-89.977847
39,76160,Inner Harbor Navigation Canal New Orleans,29.9664805,-90.02675
40,01340,Mississippi River at IHNC Lock,29.9644138,-90.0274333
41,073802512,Hackberry Bay NW of Grand Isle,29.39855505,-90.0411844
42,76230,Harvey Canal at Boomtown Casino,29.8483583,-90.0598694
43,76220,Harvey Canal Sector Gates nr Lapalco Blvd,29.8705638,-90.069325
44,85626,London Ave Canal 1 - ICS Lake-side,30.0260555,-90.0720277
