-68.205000      44.391667       ! 8413320 =  Bar Harbor, ME
-70.246667      43.656667       ! 8418150 =  Portland, ME
-70.563333      43.320000       ! 8419317 =  Wells, ME
-70.711667      43.071667       ! 8423898 =  Fort Point, NH
-71.053333      42.353333       ! 8443970 =  Boston, MA
-71.400000      41.806667       ! 8454000 =  Providence, RI
-71.343333      41.716667       ! 8452944 =  Conimicut Light, RI
-71.163333      41.703333       ! 8447386 =  Fall River, MA
-69.950000      41.688333       ! 8447435 =  Chatham, MA
-70.671667      41.523333       ! 8447930 =  Woods Hole, MA
-71.326667      41.505000       ! 8452660 =  Newport, RI
-72.090000      41.360000       ! 8461490 =  New London, CT
-70.766667      41.353333       ! 8448725 =  Menemsha Harbor, MA
-70.096667      41.285000       ! 8449130 =  Nantucket Island, MA
-72.908333      41.283333       ! 8465705 =  New Haven, CT
-73.181667      41.173333       ! 8467150 =  Bridegport, CT
-72.306667      41.136667       ! 8511671 =  Orient Harbor, NY
-71.960000      41.048333       ! 8510560 =  Montauk, NY
-73.763333      40.810000       ! 8516945 =  Kings Point, NY
-74.013333      40.700000       ! 8518750 =  The Battery, NY
-74.141667      40.636667       ! 8519483 =  Bergen Point West Reach, NY
-74.008333      40.466667       ! 8531680 =  Sandy Hook, NJ
-74.418333      39.355000       ! 8534720 =  Atlantic City, NJ
-76.578333      39.266667       ! 8574680 =  Baltimore, MD
-76.245000      39.213333       ! 8573364 =  Tolchester Beach, MD
-75.113333      38.986667       ! 8555889 =  Brandywine Shoal Light, DE
-76.480000      38.983333       ! 8575512 =  Annapolis, MD
-74.960000      38.968333       ! 8536110 =  Cape May, NJ
-77.021667      38.873333       ! 8594900 =  Washington, DC
-75.120000      38.781667       ! 8557380 =  Lewes, DE
-76.068333      38.573333       ! 8571892 =  Cambridge, MD
-75.091667      38.328333       ! 8570283 =  Ocean City Inlet, MD
-76.038333      38.220000       ! 8571421 =  Bishops Head, MD
-76.463333      37.995000       ! 8635750 =  Lewisetta, VA
-76.478333      37.226667       ! 8637689 =  Yorktown USCG Training Center, VA
-75.988333      37.165000       ! 8632200 =  Kiptopeke, VA
-76.113333      36.966667       ! 8638863 =  Chesapeake Bay Bridge Tunnel, VA
-76.275000      36.883333       ! 8638671 =  Lafayette River, VA
-76.381667      36.821667       ! 8638339 =  Western Branch, VA
-76.301667      36.778333       ! 8639348 =  Money Point, VA
-75.746667      36.183333       ! 8651370 =  Duck, NC
-75.548333      35.795000       ! 8652587 =  Oregon Inlet Marina, NC
-75.703333      35.208333       ! 8654467 =  Uscg Station Hatteras, NC
-76.670000      34.720000       ! 8656483 =  Beaufort, NC
-77.953333      34.226667       ! 8658120 =  Wilmington, NC
-77.786667      34.213333       ! 8658163 =  Wrightsville Beach, NC
-79.186667      33.351667       ! 8662245 =  Oyster Landing (N. Inlet Estuary), SC
-79.925000      32.781667       ! 8665530 =  Charleston, SC
-80.783333      32.335000       ! 8667633 =  Clarendon Plantation, SC
-80.901667      32.033333       ! 8670870 =  Fort Pulaski, GA
