AL, 09, 2011082100,   , BEST,   0, 150N,  590W,  45, 1006, TS,  34, NEQ,  105,    0,    0,   45, 1010,  175,  60,  55,   0,   L,   0,    ,   0,   0,      IRENE, M, 12, NEQ,  480,    0,    0,    0
AL, 09, 2011082106,   , BEST,   0, 160N,  606W,  45, 1006, TS,  34, NEQ,  130,    0,    0,   80, 1010,  175,  50,  55,   0,   L,   0,    ,   0,   0,      IRENE, M, 
AL, 09, 2011082112,   , BEST,   0, 168N,  622W,  45, 1005, TS,  34, NEQ,  130,    0,    0,   70, 1010,  175,  50,  55,   0,   L,   0,    ,   0,   0,      IRENE, M, 12, NEQ,  360,    0,    0,   45
AL, 09, 2011082118,   , BEST,   0, 175N,  637W,  50,  999, TS,  34, NEQ,  130,   20,    0,   70, 1010,  175,  50,  55,   0,   L,   0,    ,   0,   0,      IRENE, M, 12, NEQ,  360,    0,    0,   45
AL, 09, 2011082118,   , BEST,   0, 175N,  637W,  50,  999, TS,  50, NEQ,   30,    0,    0,    0, 1010,  175,  50,  55,   0,   L,   0,    ,   0,   0,      IRENE, M, 12, NEQ,  360,    0,    0,   45
AL, 09, 2011082200,   , BEST,   0, 179N,  650W,  60,  993, TS,  34, NEQ,  130,   30,   30,   90, 1010,  125,  30,  60,   0,   L,   0,    ,   0,   0,      IRENE, M, 12, NEQ,  360,   60,   15,  120
AL, 09, 2011082200,   , BEST,   0, 179N,  650W,  60,  993, TS,  50, NEQ,   30,    0,    0,   30, 1010,  125,  30,  60,   0,   L,   0,    ,   0,   0,      IRENE, M, 12, NEQ,  360,   60,   15,  120
AL, 09, 2011082206,   , BEST,   0, 182N,  659W,  65,  990, HU,  34, NEQ,  130,   60,   60,   90, 1010,  150,  15,  75,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  360,   60,   15,  120
AL, 09, 2011082206,   , BEST,   0, 182N,  659W,  65,  990, HU,  50, NEQ,   40,   25,   20,   35, 1010,  150,  15,  75,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  360,   60,   15,  120
AL, 09, 2011082206,   , BEST,   0, 182N,  659W,  65,  990, HU,  64, NEQ,   25,    0,    0,    0, 1010,  150,  15,  75,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  360,   60,   15,  120
AL, 09, 2011082212,   , BEST,   0, 189N,  670W,  70,  989, HU,  34, NEQ,  160,   60,   60,   90, 1010,  200,  15,  85,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  180,   60,    0,  120
AL, 09, 2011082212,   , BEST,   0, 189N,  670W,  70,  989, HU,  50, NEQ,   40,   25,   20,   35, 1010,  200,  15,  85,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  180,   60,    0,  120
AL, 09, 2011082212,   , BEST,   0, 189N,  670W,  70,  989, HU,  64, NEQ,   25,    0,    0,    0, 1010,  200,  15,  85,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  180,   60,    0,  120
AL, 09, 2011082218,   , BEST,   0, 193N,  680W,  75,  988, HU,  34, NEQ,  160,   60,   40,   90, 1010,  250,  15,  85,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  180,   60,    0,  120
AL, 09, 2011082218,   , BEST,   0, 193N,  680W,  75,  988, HU,  50, NEQ,   40,   30,   20,   35, 1010,  250,  15,  85,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  180,   60,    0,  120
AL, 09, 2011082218,   , BEST,   0, 193N,  680W,  75,  988, HU,  64, NEQ,   25,    0,    0,    0, 1010,  250,  15,  85,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  180,   60,    0,  120
AL, 09, 2011082300,   , BEST,   0, 197N,  688W,  80,  981, HU,  34, NEQ,  160,   70,   50,  100, 1010,  300,  15, 105,  30,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  180,   60,    0,  120
AL, 09, 2011082300,   , BEST,   0, 197N,  688W,  80,  981, HU,  50, NEQ,   70,   30,   30,   70, 1010,  300,  15, 105,  30,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  180,   60,    0,  120
AL, 09, 2011082300,   , BEST,   0, 197N,  688W,  80,  981, HU,  64, NEQ,   25,    0,    0,   35, 1010,  300,  15, 105,  30,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  180,   60,    0,  120
AL, 09, 2011082306,   , BEST,   0, 201N,  697W,  80,  978, HU,  34, NEQ,  180,  120,   90,  130, 1010,  300,  15, 105,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  180,  120,   35,  150
AL, 09, 2011082306,   , BEST,   0, 201N,  697W,  80,  978, HU,  50, NEQ,   90,   60,   40,   70, 1010,  300,  15, 105,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  180,  120,   35,  150
AL, 09, 2011082306,   , BEST,   0, 201N,  697W,  80,  978, HU,  64, NEQ,   45,   30,   20,   35, 1010,  300,  15, 105,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  180,  120,   35,  150
AL, 09, 2011082312,   , BEST,   0, 204N,  706W,  80,  978, HU,  34, NEQ,  180,  120,   90,  130, 1008,  300,  15, 105,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  180,  120,   35,  150
AL, 09, 2011082312,   , BEST,   0, 204N,  706W,  80,  978, HU,  50, NEQ,   90,   60,   40,   70, 1008,  300,  15, 105,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  180,  120,   35,  150
AL, 09, 2011082312,   , BEST,   0, 204N,  706W,  80,  978, HU,  64, NEQ,   40,   30,   20,   35, 1008,  300,  15, 105,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  180,  120,   35,  150
AL, 09, 2011082318,   , BEST,   0, 207N,  712W,  80,  977, HU,  34, NEQ,  180,  120,   90,  130, 1006,  300,  20, 100,   0,   L,   0,    ,   0,   0,      IRENE, D, 
AL, 09, 2011082318,   , BEST,   0, 207N,  712W,  80,  977, HU,  50, NEQ,   75,   60,   40,   70, 1006,  300,  20, 100,   0,   L,   0,    ,   0,   0,      IRENE, D, 
AL, 09, 2011082318,   , BEST,   0, 207N,  712W,  80,  977, HU,  64, NEQ,   35,   30,   20,   35, 1006,  300,  20, 100,   0,   L,   0,    ,   0,   0,      IRENE, D, 
AL, 09, 2011082400,   , BEST,   0, 210N,  719W,  80,  969, HU,  34, NEQ,  180,  150,   90,  150, 1006,  300,  20, 100,   0,   L,   0,    ,   0,   0,      IRENE, D, 
AL, 09, 2011082400,   , BEST,   0, 210N,  719W,  80,  969, HU,  50, NEQ,   70,   70,   40,   70, 1006,  300,  20, 100,   0,   L,   0,    ,   0,   0,      IRENE, D, 
AL, 09, 2011082400,   , BEST,   0, 210N,  719W,  80,  969, HU,  64, NEQ,   35,   30,   25,   35, 1006,  300,  20, 100,   0,   L,   0,    ,   0,   0,      IRENE, D, 
AL, 09, 2011082406,   , BEST,   0, 213N,  725W,  95,  965, HU,  34, NEQ,  180,  150,   90,  150, 1008,  300,  20, 115,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  240,  150,   90,  210
AL, 09, 2011082406,   , BEST,   0, 213N,  725W,  95,  965, HU,  50, NEQ,   70,   70,   40,   70, 1008,  300,  20, 115,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  240,  150,   90,  210
AL, 09, 2011082406,   , BEST,   0, 213N,  725W,  95,  965, HU,  64, NEQ,   35,   30,   25,   35, 1008,  300,  20, 115,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  240,  150,   90,  210
AL, 09, 2011082412,   , BEST,   0, 219N,  733W, 105,  957, HU,  34, NEQ,  180,  150,   90,  150, 1008,  275,  15, 120,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  240,  120,   90,  210
AL, 09, 2011082412,   , BEST,   0, 219N,  733W, 105,  957, HU,  50, NEQ,   90,   60,   45,   80, 1008,  275,  15, 120,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  240,  120,   90,  210
AL, 09, 2011082412,   , BEST,   0, 219N,  733W, 105,  957, HU,  64, NEQ,   45,   40,   25,   40, 1008,  275,  15, 120,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  240,  120,   90,  210
AL, 09, 2011082418,   , BEST,   0, 227N,  743W, 100,  954, HU,  34, NEQ,  200,  180,  100,  150, 1008,  300,  15, 130,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  360,  240,  120,  300
AL, 09, 2011082418,   , BEST,   0, 227N,  743W, 100,  954, HU,  50, NEQ,  100,   70,   50,   80, 1008,  300,  15, 130,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  360,  240,  120,  300
AL, 09, 2011082418,   , BEST,   0, 227N,  743W, 100,  954, HU,  64, NEQ,   50,   45,   25,   40, 1008,  300,  15, 130,   0,   L,   0,    ,   0,   0,      IRENE, D, 12, NEQ,  360,  240,  120,  300
