AL, 02, 1919090212,   , BEST,   0, 160N,  610W,  25,     , TD, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090218,   , BEST,   0, 163N,  623W,  30,     , TD, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090300,   , BEST,   0, 167N,  636W,  30,     , TD, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090306,   , BEST,   0, 171N,  648W,  35,     , TS, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090312,   , BEST,   0, 175N,  660W,  40,     , TS, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090318,   , BEST,   0, 180N,  670W,  45,     , TS, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090400,   , BEST,   0, 186N,  680W,  45,     , TS, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090406,   , BEST,   0, 191N,  690W,  40,     , TS, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090412,   , BEST,   0, 195N,  700W,  35,     , TS, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090418,   , BEST,   0, 198N,  708W,  35,     , TS, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090500,   , BEST,   0, 200N,  716W,  35,     , TS, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090506,   , BEST,   0, 202N,  722W,  35,     , TS, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090512,   , BEST,   0, 205N,  725W,  35,     , TS, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090518,   , BEST,   0, 209N,  726W,  35,     , TS, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090600,   , BEST,   0, 214N,  726W,  40,     , TS, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090606,   , BEST,   0, 218N,  727W,  45,     , TS, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090612,   , BEST,   0, 222N,  728W,  50,     , TS, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090618,   , BEST,   0, 225N,  731W,  55,     , TS, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090700,   , BEST,   0, 228N,  735W,  60,     , TS, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090706,   , BEST,   0, 230N,  740W,  65,     , HU, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090712,   , BEST,   0, 232N,  745W,  75,     , HU, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090718,   , BEST,   0, 234N,  751W,  85,     , HU, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090800,   , BEST,   0, 235N,  758W,  95,     , HU, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090806,   , BEST,   0, 236N,  765W,  95,     , HU, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090812,   , BEST,   0, 237N,  773W, 100,     , HU, , , , , , , , , , , , , ,    UNNAMED
AL, 02, 1919090818,   , BEST,   0, 238N,  781W, 105,     , HU, , , , , , , , , , , , , ,    UNNAMED
