AL, 09, 2021082406,   , BEST,   0, 118N,  642W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  120,  90,   0,   0,   L,   0,    ,   0,   0,     INVEST,  , 
AL, 09, 2021082412,   , BEST,   0, 120N,  664W,  20, 1008, DB,   0,    ,    0,    0,    0,    0, 1010,  120,  90,   0,   0,   L,   0,    ,   0,   0,     INVEST,  , 
AL, 09, 2021082418,   , BEST,   0, 121N,  686W,  25, 1006, DB,   0,    ,    0,    0,    0,    0, 1009,  120,  90,   0,   0,   L,   0,    ,   0,   0,     INVEST,  , 
AL, 09, 2021082500,   , BEST,   0, 123N,  708W,  25, 1006, DB,   0,    ,    0,    0,    0,    0, 1009,  120,  90,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 09, 2021082506,   , BEST,   0, 125N,  731W,  25, 1006, DB,   0,    ,    0,    0,    0,    0, 1009,  130, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 09, 2021082512,   , BEST,   0, 131N,  749W,  30, 1006, DB,   0,    ,    0,    0,    0,    0, 1010,  130,  90,  35,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 09, 2021082518,   , BEST,   0, 135N,  760W,  30, 1006, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  80,  40,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 09, 2021082600,   , BEST,   0, 140N,  770W,  30, 1006, DB,   0,    ,    0,    0,    0,    0, 1009,  150,  80,   0,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 09, 2021082606,   , BEST,   0, 152N,  780W,  30, 1006, DB,   0,    ,    0,    0,    0,    0, 1009,  150,  80,  40,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 09, 2021082612,   , BEST,   0, 164N,  790W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  60,  40,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, TRANSITIONED, alB92021 to al092021, 
AL, 09, 2021082618,   , BEST,   0, 175N,  794W,  35, 1006, TS,  34, NEQ,   60,    0,    0,    0, 1009,  150,  50,  45,   0,   L,   0,    ,   0,   0,       NINE, M, 
AL, 09, 2021082700,   , BEST,   0, 180N,  801W,  40, 1004, TS,  34, NEQ,   60,    0,    0,    0, 1009,  150,  50,  45,   0,   L,   0,    ,   0,   0,        IDA, M, 
AL, 09, 2021082706,   , BEST,   0, 195N,  809W,  45, 1002, TS,  34, NEQ,   70,    0,    0,    0, 1008,  140,  40,  50,   0,   L,   0,    ,   0,   0,        IDA, M, 
AL, 09, 2021082712,   , BEST,   0, 204N,  817W,  55,  996, TS,  34, NEQ,   80,   60,    0,   60, 1008,  150,  30,  60,   0,   L,   0,    ,   0,   0,        IDA, D, 12, NEQ,   75,   75,   30,   15, 
AL, 09, 2021082712,   , BEST,   0, 204N,  817W,  55,  996, TS,  50, NEQ,   30,    0,    0,    0, 1008,  150,  30,  60,   0,   L,   0,    ,   0,   0,        IDA, D, 12, NEQ,   75,   75,   30,   15, 
AL, 09, 2021082718,   , BEST,   0, 216N,  827W,  70,  987, HU,  34, NEQ,   80,   60,   40,   60, 1010,  150,  20,  85,   0,   L,   0,    ,   0,   0,        IDA, D, 12, NEQ,   75,   75,   30,   15, 
AL, 09, 2021082718,   , BEST,   0, 216N,  827W,  70,  987, HU,  50, NEQ,   40,   30,    0,   20, 1010,  150,  20,  85,   0,   L,   0,    ,   0,   0,        IDA, D, 12, NEQ,   75,   75,   30,   15, 
AL, 09, 2021082718,   , BEST,   0, 216N,  827W,  70,  987, HU,  64, NEQ,   20,    0,    0,    0, 1010,  150,  20,  85,   0,   L,   0,    ,   0,   0,        IDA, D, 12, NEQ,   75,   75,   30,   15, 
AL, 09, 2021082800,   , BEST,   0, 225N,  835W,  70,  985, HU,  34, NEQ,  100,   60,   40,   70, 1010,  150,  20,  85,   0,   L,   0,    ,   0,   0,        IDA, D, 12, NEQ,    0,  120,   45,    0, 
AL, 09, 2021082800,   , BEST,   0, 225N,  835W,  70,  985, HU,  50, NEQ,   50,   30,    0,   30, 1010,  150,  20,  85,   0,   L,   0,    ,   0,   0,        IDA, D, 12, NEQ,    0,  120,   45,    0, 
AL, 09, 2021082800,   , BEST,   0, 225N,  835W,  70,  985, HU,  64, NEQ,   20,    0,    0,    0, 1010,  150,  20,  85,   0,   L,   0,    ,   0,   0,        IDA, D, 12, NEQ,    0,  120,   45,    0, 
AL, 09, 2021082806,   , BEST,   0, 235N,  847W,  70,  987, HU,  34, NEQ,  100,   60,   40,   70, 1011,  150,  20,  85,   0,   L,   0,    ,   0,   0,        IDA, D, 12, NEQ,  105,    0,    0,  105, 
AL, 09, 2021082806,   , BEST,   0, 235N,  847W,  70,  987, HU,  50, NEQ,   50,   30,    0,   30, 1011,  150,  20,  85,   0,   L,   0,    ,   0,   0,        IDA, D, 12, NEQ,  105,    0,    0,  105, 
AL, 09, 2021082806,   , BEST,   0, 235N,  847W,  70,  987, HU,  64, NEQ,   20,    0,    0,    0, 1011,  150,  20,  85,   0,   L,   0,    ,   0,   0,        IDA, D, 12, NEQ,  105,    0,    0,  105, 
AL, 09, 2021082812,   , BEST,   0, 244N,  857W,  75,  985, HU,  34, NEQ,  110,   80,   60,  100, 1011,  150,  20,  90,   0,   L,   0,    ,   0,   0,        IDA, D, 12, NEQ,  120,   60,   60,  120, 
AL, 09, 2021082812,   , BEST,   0, 244N,  857W,  75,  985, HU,  50, NEQ,   50,   40,   20,   30, 1011,  150,  20,  90,   0,   L,   0,    ,   0,   0,        IDA, D, 12, NEQ,  120,   60,   60,  120, 
