Lake Pontchartrain at Mandeville, LA (Mandeville, CPRA) (85575, USACE)
Rigolets near Lake Pontchartrain, LA (Rigolets, CPRA) (85700, USACE)
Outfall 17th St London Ave Orleans Ave, LA (17StCanal, CPRA) (85625, USACE)
Seabrook Complex - Flood Side, LA (IHNC01, CPRA) (76065, USACE)
Lake Pontchartrain at Lakefront Airport, LA (LakefrontAirport, CPRA) (85670, USACE)
IHNC Surge Barrier East - Flood Side, LA (IHNC02, CPRA) (76030, USACE)
Bayou Dupre Sector Gate - East/Flood Side, LA (LPV144, CPRA) (76010, USACE)
Bayou Verret / W. Tie-In Sector Gate Flood Side, LA (WBV7274, CPRA) (82715, USACE)
Bayou Segnette Closure - Flood Side, LA (WBV162, CPRA) (82742, USACE)
Caernarvon Canal Sector Gate - South/Flood Side, LA (LPV149, CPRA) (85760, USACE)
GIWW at West Closure Complex - Flood Side, LA (WBV90, CPRA) (76265, USACE)
Hero Canal Stop-Log Gate - Flood Side/West, LA (WBV09b, CPRA) (82762, USACE)
Barataria Waterway at Lafitte, LA (Lafitte, CPRA) (82875, USACE)
Mississippi River at Empire Lock, LA (NOV14, CPRA) (01440, USACE)
Mississippi River at Empire Floodgate, LA (NOV13, CPRA) (01440, USACE)
Oakville Sluice Gate - Flood Side/South (WBV09a, CPRA) (82770 USACE )
